,orcd_processed,url,update_days_old,opened_at,requester,sys_created_by,short_description,sys_updated_by,sys_updated_on,sys_created_on,assigned_to,state,number,sys_id,category_ref,service_ref
1098,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3Da07cc12b1bd36550b66a968f034bcb07,139,2023-06-14 12:02:10 AM,******,****,ML/NLP Research Compute Inquiries,*****,2023-06-14 12:02:10 AM,2023-06-14 12:02:10 AM,,New,TKD0208254,a07cc12b1bd36550b66a968f034bcb07,,
1104,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3D4b7302531bd7e150b66a968f034bcb9e,137,2023-06-13 09:24:09 AM,******,******,Data transfer from C3,*****,2023-06-16 08:23:53 AM,2023-06-13 09:24:09 AM,,New,TKD0207940,4b7302531bd7e150b66a968f034bcb9e,,
1200,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3D3e2756d51b87ed10b66a968f034bcb6a,154,2023-05-25 07:26:36 PM,******,******,Fw: [help.mit.edu #6278466] Form submission from: Meeting request form,******,2023-05-30 09:45:41 AM,2023-05-25 07:26:36 PM,,New,TKD0203464,3e2756d51b87ed10b66a968f034bcb6a,,
1208,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3Df51c68991bc3ad10b66a968f034bcb98,157,2023-05-25 11:38:46 AM,******,******,"NetCDF, MPI dependencies for compiling code on Rocky 8 CPUs",*****,2023-05-26 12:06:23 PM,2023-05-25 11:38:46 AM,,New,TKD0203300,f51c68991bc3ad10b66a968f034bcb98,,
1232,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3D7f22f1831bf66590b66a968f034bcba3,165,2023-05-18 04:58:42 PM,******,******,c3ddb01,*****,2023-05-18 05:00:56 PM,2023-05-18 04:58:42 PM,,New,TKD0201412,7f22f1831bf66590b66a968f034bcba3,,
1262,False,https://mit.service-now.com/nav_to.do?uri=%2Fx_mits2_sloanfcs_case.do%3Fsys_id%3D0131590a1bf2e950b66a968f034bcb36,168,2023-05-15 12:00:41 PM,********,*******,Re: Building the Prototype Open Knowledge Network (Proto-OKN),*******,2023-05-15 12:00:41 PM,2023-05-15 12:00:41 PM,,New,TKD0200143,0131590a1bf2e950b66a968f034bcb36,,
